fecha,ID,Nombre,lluvia,tmin,tseca,tmax,eva_tan,eva_piche,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,rad_solar,tsuelo_50,tsuelo_100,Fenomenos/0,Fenomenos/1,Fenomenos/2,Fenomenos/3,Fenomenos/4,Fenomenos/5,Fenomenos/6,Fenomenos/7,Fenomenos/8,Fenomenos/9,Fenomenos/10,ID_INSIVUMEH,Latitud,Longitud,Altitud
2023-05-10,INS121701CV,TECUN_UMAN,0.0,24.0,31.1,36.6,5.8,,63.0,8.4,3.0,4.0,180.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-11,INS121701CV,TECUN_UMAN,0.0,23.4,31.3,37.4,5.6,,60.0,9.2,1.0,4.7,90.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-12,INS121701CV,TECUN_UMAN,0.0,23.0,30.8,37.2,6.4,,63.0,8.2,5.0,4.7,90.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-13,INS121701CV,TECUN_UMAN,0.0,23.4,31.1,37.0,5.8,,59.0,9.6,3.0,4.0,45.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-14,INS121701CV,TECUN_UMAN,0.0,23.0,29.9,34.4,6.2,,64.0,1.5,6.0,4.0,90.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-15,INS121701CV,TECUN_UMAN,1.0,23.0,29.3,37.6,3.8,,72.0,8.2,3.0,7.5,9.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-16,INS121701CV,TECUN_UMAN,0.0,21.4,31.6,38.4,6.4,,58.0,9.9,1.0,7.4,315.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-17,INS121701CV,TECUN_UMAN,3.0,22.0,30.9,37.6,6.8,,60.0,9.6,1.0,7.4,360.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-18,INS121701CV,TECUN_UMAN,0.0,22.4,30.7,37.4,6.2,,63.0,8.9,2.0,7.4,360.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-19,INS121701CV,TECUN_UMAN,0.0,23.2,31.6,38.2,5.6,,61.0,9.2,1.0,7.4,225.0,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-20,INS121701CV,TECUN_UMAN,0.0,24.0,31.9,38.2,6.0,,59.0,8.8,3.0,7.4,180.0,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-21,INS121701CV,TECUN_UMAN,0.0,23.6,30.2,36.2,5.5,,67.0,2.7,6.0,7.4,45.0,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-22,INS121701CV,TECUN_UMAN,0.0,23.6,30.5,37.6,3.3,,64.0,7.5,4.0,5.8,45.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-23,INS121701CV,TECUN_UMAN,0.0,23.4,30.5,36.0,4.8,,64.0,2.7,6.0,4.7,9.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-24,INS121701CV,TECUN_UMAN,0.0,24.4,31.3,37.0,6.2,,64.0,5.6,3.0,6.3,360.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-25,INS121701CV,TECUN_UMAN,46.5,24.0,30.4,37.4,6.4,,65.0,7.6,5.0,8.6,360.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-26,INS121701CV,TECUN_UMAN,48.8,24.0,28.9,33.6,5.8,,70.0,5.8,5.0,8.6,45.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-27,INS121701CV,TECUN_UMAN,27.8,21.4,28.5,33.4,4.9,,70.0,3.0,6.0,7.4,90.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-28,INS121701CV,TECUN_UMAN,1.0,24.0,29.2,36.0,3.6,,71.0,6.3,5.0,7.4,45.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-29,INS121701CV,TECUN_UMAN,0.0,24.0,30.5,35.4,4.2,,66.0,4.5,4.0,7.4,45.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-30,INS121701CV,TECUN_UMAN,17.7,24.0,28.0,34.6,4.5,,76.0,6.0,4.0,7.4,45.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-05-31,INS121701CV,TECUN_UMAN,4.1,22.8,28.3,34.6,3.6,,77.0,6.8,6.0,7.4,180.0,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-01,INS121701CV,TECUN_UMAN,3.1,23.0,29.7,34.8,5.0,,69.0,8.7,2.0,7.4,270.0,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-02,INS121701CV,TECUN_UMAN,0.8,23.0,30.2,35.4,5.7,,69.0,9.5,4.0,7.4,270.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-03,INS121701CV,TECUN_UMAN,21.5,24.8,29.9,35.4,4.8,,71.0,6.2,6.0,9.9,45.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-04,INS121701CV,TECUN_UMAN,0.0,24.0,29.1,34.8,9.9,,74.0,7.9,5.0,7.4,45.0,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-05,INS121701CV,TECUN_UMAN,2.5,23.0,28.3,33.6,5.2,,73.0,25.0,6.0,9.9,45.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-06,INS121701CV,TECUN_UMAN,0.0,23.0,29.7,34.4,3.3,,67.0,3.9,7.0,7.4,45.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-07,INS121701CV,TECUN_UMAN,0.0,23.0,29.8,35.0,4.6,,68.0,7.3,4.0,7.4,45.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-08,INS121701CV,TECUN_UMAN,0.7,23.4,30.2,35.4,5.6,,67.0,7.7,5.0,7.4,90.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-09,INS121701CV,TECUN_UMAN,3.0,23.4,29.5,35.0,4.8,,69.0,8.3,4.0,7.4,135.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-10,INS121701CV,TECUN_UMAN,0.0,23.0,28.2,35.0,5.0,,78.0,4.6,6.0,8.6,135.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-11,INS121701CV,TECUN_UMAN,9.2,23.0,29.9,35.4,4.6,,67.0,6.0,5.0,7.4,9.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-12,INS121701CV,TECUN_UMAN,1.0,23.6,30.3,35.0,4.2,,68.0,8.8,5.0,7.4,45.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-13,INS121701CV,TECUN_UMAN,0.9,24.0,29.6,35.6,4.7,,72.0,6.2,3.0,7.4,90.0,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-14,INS121701CV,TECUN_UMAN,32.2,24.0,27.1,34.6,4.1,,83.0,5.0,4.0,7.4,270.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-15,INS121701CV,TECUN_UMAN,5.0,22.6,28.5,34.4,8.3,,76.0,6.2,5.0,7.4,45.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-16,INS121701CV,TECUN_UMAN,1.4,22.8,29.7,35.2,3.6,,69.0,6.0,2.0,7.4,90.0,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-17,INS121701CV,TECUN_UMAN,12.0,22.4,30.5,35.6,4.6,,62.0,9.4,2.0,7.4,9.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-18,INS121701CV,TECUN_UMAN,1.1,23.0,29.9,35.4,7.4,,68.0,9.1,4.0,7.4,45.0,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-19,INS121701CV,TECUN_UMAN,4.8,23.6,29.8,35.2,5.5,,69.0,7.7,4.0,7.4,45.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-20,INS121701CV,TECUN_UMAN,14.2,24.0,28.3,35.0,6.2,,76.0,5.7,5.0,8.6,360.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-21,INS121701CV,TECUN_UMAN,0.0,23.0,29.3,33.6,3.6,,69.0,7.2,6.0,8.6,45.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-22,INS121701CV,TECUN_UMAN,8.4,23.0,28.0,34.4,4.8,,78.0,4.3,5.0,8.6,90.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-23,INS121701CV,TECUN_UMAN,5.0,23.0,28.2,34.4,5.6,,77.0,6.3,5.0,8.6,135.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-24,INS121701CV,TECUN_UMAN,37.4,22.0,29.3,35.0,5.5,,69.0,5.3,5.0,7.4,360.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-25,INS121701CV,TECUN_UMAN,0.0,22.4,29.5,35.0,4.5,,65.0,6.2,5.0,7.4,9.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-26,INS121701CV,TECUN_UMAN,0.0,23.0,30.5,35.4,6.2,,62.0,8.4,2.0,7.4,90.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-27,INS121701CV,TECUN_UMAN,2.1,23.6,27.1,33.0,5.2,,82.0,2.8,8.0,7.4,180.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-28,INS121701CV,TECUN_UMAN,14.6,23.0,27.3,33.8,2.6,,82.0,4.6,7.0,7.4,45.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-29,INS121701CV,TECUN_UMAN,20.9,23.6,28.3,34.0,2.9,,74.0,5.2,6.0,7.4,9.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
2023-06-30,INS121701CV,TECUN_UMAN,0.0,22.6,29.5,35.4,6.0,,67.0,6.3,4.0,7.4,360.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INSDM1217001CONV,14.70195,-92.128059,29.0
